Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-030849,2015-07,01/01/2011 00:01,Y, , ,1, ,179210,2,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3900,FOLSOM AVE,28, , ,4900,MARGARETTA,0,0
15-034790,2015-07,01/01/2015 00:01,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5728,WESTMINSTER PL,46, , ,5728,WESTMINSTER,881182.8,1026405
15-037894,2015-07,01/01/2015 00:01,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4300,S 1ST ST,18,KINDER MORGAN, ,4300,1ST,898674,1000049
15-027479,2015-07,01/01/2015 00:01, , , ,1, ,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4900,HAMMETT,55, , ,4900,HAMMETT,0,0
14-029638,2015-07,01/18/2014 12:00, , , ,-1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,2612,UNION,52, , ,2612,UNION,0,0
15-036424,2015-07,01/21/2015 12:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,4310,SAINT FERDINAND AVE,57,JAMES HOUSE,APARTMENT BUILDING,4310,ST FERDINAND,894222.5,1029182
15-033911,2015-07,01/23/2015 00:01,Y, , ,1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2800,PARK AVE,31, , ,8200,BROADWAY,0,0
15-033911,2015-07,01/23/2015 00:01, , , ,-1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2800,PARK AVE,31, , ,8200,BROADWAY,0,0
15-036822,2015-07,02/01/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5615,WALSH ST,7, , ,5615,WALSH,880347.2,1001274
15-034923,2015-07,02/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4647,NATURAL BRIDGE AVE,69, , ,4647,NATURAL BRIDGE,893657.6,1033915
15-034332,2015-07,02/03/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-005921,2015-07,02/06/2015 11:23, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3162,OHIO,30, , ,3162,OHIO,0,0
15-006686,2015-07,02/11/2015 08:40, , , ,-1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5531,PLOVER,72, , ,5531,PLOVER,0,0
15-006686,2015-07,02/11/2015 08:40, , , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5531,PLOVER,72, , ,5531,PLOVER,0,0
15-006686,2015-07,02/11/2015 08:40, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5531,PLOVER,72, , ,5531,PLOVER,0,0
15-036367,2015-07,02/14/2001 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4442,LEE AVE,69, , ,4442,LEE,895991.3,1034677
15-033605,2015-07,02/21/2014 00:01,Y, , ,1, ,175500,6,SEX OFFNS-SX MISCONDUCT/FIRST,5500,N KINGSHIGHWAY BLVD,71,GOD S CREATION CHILD DEVELOPMENT CE, ,5500,KINGSHIGHWAY,0,0
15-037480,2015-07,02/24/2015 12:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,315,N 11TH ST,35, , ,315,9TH,907182.8,1018218
15-035033,2015-07,03/02/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,2105,ALFRED AVE,13, , ,2105,ALFRED,888171.6,1012242
15-032710,2015-07,03/16/2015 09:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,1389,HAMILTON AVE,78, ,REAR,1389,HAMILTON,881683.4,1033196
15-036618,2015-07,03/20/2015 22:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,6224,WASHINGTON AVE,46, , ,6224,WASHINGTON,877073.6,1027125
15-030177,2015-07,03/24/2015 12:02, , , ,-1, ,101000,4,FORGERY,301,TUCKER,36,US BANK,@US BANK - TUCKER,300,PINE,0,0
15-013481,2015-07,03/24/2015 21:40, , , ,-1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2235,GASCONADE,18, , ,2235,GASCONADE,0,0
